user_id,items_count,steam_id,user_url,items
Wackky,0,76561198039117046,http://steamcommunity.com/id/Wackky,None
76561198079601835,0,76561198079601835,http://steamcommunity.com/profiles/76561198079601835,None
hellom8o,0,76561198117222320,http://steamcommunity.com/id/hellom8o,None
starkillershadow553,0,76561198059648579,http://steamcommunity.com/id/starkillershadow553,None
darkenkane,0,76561198058876001,http://steamcommunity.com/id/darkenkane,None
Bubblecup,0,76561198057605314,http://steamcommunity.com/id/Bubblecup,None
76561198082525427,0,76561198082525427,http://steamcommunity.com/profiles/76561198082525427,None
76561198048504366,0,76561198048504366,http://steamcommunity.com/profiles/76561198048504366,None
steamurl,0,76561197998080236,http://steamcommunity.com/id/steamurl,None
lucaswerg,0,76561198056696376,http://steamcommunity.com/id/lucaswerg,None
Sillybaby,0,76561198047635687,http://steamcommunity.com/id/Sillybaby,None
76561198010674657,0,76561198010674657,http://steamcommunity.com/profiles/76561198010674657,None
thompyawesomeness,0,76561198021054286,http://steamcommunity.com/id/thompyawesomeness,None
CatsWhale,0,76561198072380677,http://steamcommunity.com/id/CatsWhale,None
76561198068415226,0,76561198068415226,http://steamcommunity.com/profiles/76561198068415226,None
76561198078752187,0,76561198078752187,http://steamcommunity.com/profiles/76561198078752187,None
76561198211054671,0,76561198211054671,http://steamcommunity.com/profiles/76561198211054671,None
Koolcaz12,0,76561198104221843,http://steamcommunity.com/id/Koolcaz12,None
M1ss_P1nk,0,76561198074777105,http://steamcommunity.com/id/M1ss_P1nk,None
76561198052784112,0,76561198052784112,http://steamcommunity.com/profiles/76561198052784112,None
jewxxl,0,76561198085386998,http://steamcommunity.com/id/jewxxl,None
76561198092540221,0,76561198092540221,http://steamcommunity.com/profiles/76561198092540221,None
76561198061475436,0,76561198061475436,http://steamcommunity.com/profiles/76561198061475436,None
kerim77,0,76561198034475640,http://steamcommunity.com/id/kerim77,None
sithjjf,0,76561198059540034,http://steamcommunity.com/id/sithjjf,None
76561198074935997,0,76561198074935997,http://steamcommunity.com/profiles/76561198074935997,None
76561197961778802,0,76561197961778802,http://steamcommunity.com/profiles/76561197961778802,None
76561198016602703,0,76561198016602703,http://steamcommunity.com/profiles/76561198016602703,None
76561198015747875,0,76561198015747875,http://steamcommunity.com/profiles/76561198015747875,None
76561198044204914,0,76561198044204914,http://steamcommunity.com/profiles/76561198044204914,None
jjas01,0,76561197973962178,http://steamcommunity.com/id/jjas01,None
_za,0,76561198069002084,http://steamcommunity.com/id/_za,None
76561198035588228,0,76561198035588228,http://steamcommunity.com/profiles/76561198035588228,None
76561198061913628,0,76561198061913628,http://steamcommunity.com/profiles/76561198061913628,None
76561198023094381,0,76561198023094381,http://steamcommunity.com/profiles/76561198023094381,None
CocoRichy,0,76561198090629243,http://steamcommunity.com/id/CocoRichy,None
EHS-R3AP3R,0,76561198050004858,http://steamcommunity.com/id/EHS-R3AP3R,None
76561197975388604,0,76561197975388604,http://steamcommunity.com/profiles/76561197975388604,None
76561198078799606,0,76561198078799606,http://steamcommunity.com/profiles/76561198078799606,None
76561198045065985,0,76561198045065985,http://steamcommunity.com/profiles/76561198045065985,None
76561198033864626,0,76561198033864626,http://steamcommunity.com/profiles/76561198033864626,None
76561198074324939,0,76561198074324939,http://steamcommunity.com/profiles/76561198074324939,None
abhorence,0,76561197994852170,http://steamcommunity.com/id/abhorence,None
abuffalostuckinatree,0,76561198037257505,http://steamcommunity.com/id/abuffalostuckinatree,None
76561198070215484,0,76561198070215484,http://steamcommunity.com/profiles/76561198070215484,None
76561198045776691,0,76561198045776691,http://steamcommunity.com/profiles/76561198045776691,None
mrfunkyjunkie,0,76561198035060604,http://steamcommunity.com/id/mrfunkyjunkie,None
76561198074323290,0,76561198074323290,http://steamcommunity.com/profiles/76561198074323290,None
76561198070263209,0,76561198070263209,http://steamcommunity.com/profiles/76561198070263209,None
76561198006540520,0,76561198006540520,http://steamcommunity.com/profiles/76561198006540520,None
76561197974897475,0,76561197974897475,http://steamcommunity.com/profiles/76561197974897475,None
76561198031278382,0,76561198031278382,http://steamcommunity.com/profiles/76561198031278382,None
airro,0,76561198017238367,http://steamcommunity.com/id/airro,None
RemixEbola,0,76561198065907945,http://steamcommunity.com/id/RemixEbola,None
76561198044678148,0,76561198044678148,http://steamcommunity.com/profiles/76561198044678148,None
Alex680,0,76561198088142152,http://steamcommunity.com/id/Alex680,None
whitewolfang1,0,76561198053689884,http://steamcommunity.com/id/whitewolfang1,None
AlexNoClutch,0,76561198066501403,http://steamcommunity.com/id/AlexNoClutch,None
Alexwai04,0,76561198081216764,http://steamcommunity.com/id/Alexwai04,None
76561198060059014,0,76561198060059014,http://steamcommunity.com/profiles/76561198060059014,None
76561197994664479,0,76561197994664479,http://steamcommunity.com/profiles/76561197994664479,None
76561198091368975,0,76561198091368975,http://steamcommunity.com/profiles/76561198091368975,None
Vigilante8,0,76561197994751966,http://steamcommunity.com/id/Vigilante8,None
76561198071952798,0,76561198071952798,http://steamcommunity.com/profiles/76561198071952798,None
76561198141882120,0,76561198141882120,http://steamcommunity.com/profiles/76561198141882120,None
76561198058836921,0,76561198058836921,http://steamcommunity.com/profiles/76561198058836921,None
AMLN,0,76561198068802744,http://steamcommunity.com/id/AMLN,None
ShadowBall4011,0,76561198094660755,http://steamcommunity.com/id/ShadowBall4011,None
76561198055790408,0,76561198055790408,http://steamcommunity.com/profiles/76561198055790408,None
76561198040925596,0,76561198040925596,http://steamcommunity.com/profiles/76561198040925596,None
76561198049916759,0,76561198049916759,http://steamcommunity.com/profiles/76561198049916759,None
76561198060989765,0,76561198060989765,http://steamcommunity.com/profiles/76561198060989765,None
76561198090279813,0,76561198090279813,http://steamcommunity.com/profiles/76561198090279813,None
76561198021244661,0,76561198021244661,http://steamcommunity.com/profiles/76561198021244661,None
76561198093106303,0,76561198093106303,http://steamcommunity.com/profiles/76561198093106303,None
alexms69,0,76561198204406408,http://steamcommunity.com/id/alexms69,None
sontersaurus,0,76561198080132669,http://steamcommunity.com/id/sontersaurus,None
bakhtiar93tiarstudio,0,76561198050693553,http://steamcommunity.com/id/bakhtiar93tiarstudio,None
AtomicWoodchuck,0,76561197970409140,http://steamcommunity.com/id/AtomicWoodchuck,None
76561198050251204,0,76561198050251204,http://steamcommunity.com/profiles/76561198050251204,None
76561198078730600,0,76561198078730600,http://steamcommunity.com/profiles/76561198078730600,None
76561198045888087,0,76561198045888087,http://steamcommunity.com/profiles/76561198045888087,None
76561198000392178,0,76561198000392178,http://steamcommunity.com/profiles/76561198000392178,None
wolfhunter,0,76561198012828735,http://steamcommunity.com/id/wolfhunter,None
76561198046512409,0,76561198046512409,http://steamcommunity.com/profiles/76561198046512409,None
Arsenal_,0,76561198062362368,http://steamcommunity.com/id/Arsenal_,None
76561197998761331,0,76561197998761331,http://steamcommunity.com/profiles/76561197998761331,None
76561198096750939,0,76561198096750939,http://steamcommunity.com/profiles/76561198096750939,None
76561198051433041,0,76561198051433041,http://steamcommunity.com/profiles/76561198051433041,None
76561198156282807,0,76561198156282807,http://steamcommunity.com/profiles/76561198156282807,None
76561198042365104,0,76561198042365104,http://steamcommunity.com/profiles/76561198042365104,None
76561198026741163,0,76561198026741163,http://steamcommunity.com/profiles/76561198026741163,None
76561198068765460,0,76561198068765460,http://steamcommunity.com/profiles/76561198068765460,None
BarretaJrs,0,76561198078195232,http://steamcommunity.com/id/BarretaJrs,None
76561197980751730,0,76561197980751730,http://steamcommunity.com/profiles/76561197980751730,None
76561198069458790,0,76561198069458790,http://steamcommunity.com/profiles/76561198069458790,None
bcott,0,76561198066376745,http://steamcommunity.com/id/bcott,None
rangi92,0,76561198060590391,http://steamcommunity.com/id/rangi92,None
76561197992830435,0,76561197992830435,http://steamcommunity.com/profiles/76561197992830435,None
76561197988934555,0,76561197988934555,http://steamcommunity.com/profiles/76561197988934555,None
76561197998217937,0,76561197998217937,http://steamcommunity.com/profiles/76561197998217937,None
76561198063323473,0,76561198063323473,http://steamcommunity.com/profiles/76561198063323473,None
ChunkyAsCharged,0,76561198040852965,http://steamcommunity.com/id/ChunkyAsCharged,None
IJustWantedToTalk,0,76561198089612280,http://steamcommunity.com/id/IJustWantedToTalk,None
76561198034643189,0,76561198034643189,http://steamcommunity.com/profiles/76561198034643189,None
mavros88,0,76561198067568601,http://steamcommunity.com/id/mavros88,None
76561198080148967,0,76561198080148967,http://steamcommunity.com/profiles/76561198080148967,None
76561198048737111,0,76561198048737111,http://steamcommunity.com/profiles/76561198048737111,None
76561198030806320,0,76561198030806320,http://steamcommunity.com/profiles/76561198030806320,None
76561198105387448,0,76561198105387448,http://steamcommunity.com/profiles/76561198105387448,None
76561198078725425,0,76561198078725425,http://steamcommunity.com/profiles/76561198078725425,None
76561198042728201,0,76561198042728201,http://steamcommunity.com/profiles/76561198042728201,None
76561198088724903,0,76561198088724903,http://steamcommunity.com/profiles/76561198088724903,None
BurntBlizzardZ,0,76561198025470631,http://steamcommunity.com/id/BurntBlizzardZ,None
blocks477,0,76561197966695501,http://steamcommunity.com/id/blocks477,None
76561198057389499,0,76561198057389499,http://steamcommunity.com/profiles/76561198057389499,None
76561197970931849,0,76561197970931849,http://steamcommunity.com/profiles/76561197970931849,None
